ID_HECHO,N_VICTIMAS,FECHA,DIA_SEMANA,ANIO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DE_CALLE,CALLE,CRUCE,LUGAR_DEL_HECHO,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO
2019-0105,1,2019-05-05,DOMINGO,2019,5,5,11,MEDIODIA_11-15,AVENIDA,SANTO TOME,SEGUROLA AV.,SANTO TOME y SEGUROLA AV.,10,-58.50512382,-34.61520391,PEATON-AUTO,PEATON,AUTO
2020-0001,1,2020-01-04,SABADO,2020,1,4,10,MANIANA_6-10,CALLE,URIARTE,LOYOLA,URIARTE y LOYOLA,15,-58.43910409,-34.59213355,PEATON-AUTO,PEATON,AUTO
2020-0002,1,2020-01-05,DOMINGO,2020,1,5,20,TARDE_16-20,AVENIDA,SARAZA,VARELA AV.,SARAZA y VARELA AV.,7,-58.45019436,-34.64646409,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2020-0003,1,2020-01-11,SABADO,2020,1,11,6,MANIANA_6-10,AVENIDA,RIVADAVIA AV.,COMBATE DE LOS POZOS,RIVADAVIA AV. y COMBATE DE LOS POZOS,3,-58.39337644,-34.60927582,PEATON-AUTO,PEATON,AUTO
2020-0004,1,2020-01-14,MARTES,2020,1,14,21,NOCHE_21-1,AVENIDA,RODRIGUEZ PEÑA,RIVADAVIA AV.,RODRIGUEZ PEÑA y RIVADAVIA AV.,1,-58.39055614,-34.60919284,PEATON-PASAJEROS,PEATON,PASAJEROS
2020-0005,1,2020-01-14,MARTES,2020,1,14,6,MANIANA_6-10,AVENIDA,24 DE NOVIEMBRE,SAN JUAN AV.,24 DE NOVIEMBRE y SAN JUAN AV.,3,-58.41036975,-34.62477021,MOTO-PASAJEROS,MOTO,PASAJEROS
2020-0006,1,2020-01-20,LUNES,2020,1,20,12,MEDIODIA_11-15,AVENIDA,LAFUENTE AV.,,LAFUENTE AV. 2250,8,-58.44925765,-34.65412546,MOTO-CARGAS,MOTO,CARGAS
2020-0007,1,2020-01-27,LUNES,2020,1,27,0,NOCHE_21-1,CALLE,CHILE,LIMA,CHILE y LIMA,1,-58.38156850,-34.61648696,PEATON-MOTO,PEATON,MOTO
2020-0008,1,2020-01-30,JUEVES,2020,1,30,7,MANIANA_6-10,AVENIDA,CORDOBA AV.,"JAURES, JEAN","CORDOBA AV. y JAURES, JEAN",2,-58.40662899,-34.59804521,MOTO-CARGAS,MOTO,CARGAS
2020-0009,1,2020-02-04,MARTES,2020,2,4,14,MEDIODIA_11-15,CALLE,"PERON, JUAN DOMINGO, TTE. GENERAL","SALGUERO, JERONIMO","PERON, JUAN DOMINGO, TTE. GENERAL y SALGUERO, JERONIMO",5,-58.41985649,-34.60600850,PEATON-AUTO,PEATON,AUTO
2020-0010,1,2020-02-08,SABADO,2020,2,8,5,MADRUGADA_2-5,AVENIDA,9 DE JULIO AV.,SAN JUAN AV.,9 DE JULIO AV. y SAN JUAN AV.,1,-58.38099833,-34.62214953,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2020-0011,1,2020-02-12,MIERCOLES,2020,2,12,11,MEDIODIA_11-15,CALLE,COLOMBRES,,COLOMBRES 466,5,-58.41803309,-34.61823178,MOTO-CARGAS,MOTO,CARGAS
2020-0012,1,2020-02-18,MARTES,2020,2,18,21,NOCHE_21-1,CALLE,MEXICO,,MEXICO 2860,3,-58.40604003,-34.61783553,PEATON-MOTO,PEATON,MOTO
2020-0013,1,2020-02-20,JUEVES,2020,2,20,12,MEDIODIA_11-15,AVENIDA,COMBATIENTES DE MALVINAS AV.,TRIUNVIRATO AV.,COMBATIENTES DE MALVINAS AV. y TRIUNVIRATO AV.,15,-58.47549929,-34.57994061,PEATON-MOTO,PEATON,MOTO
