,ID_VICTIMA,ID_HECHO,ROL,SEXO,EDAD,RANGO_ETAREO,FECHA,HORA,TIPO_DE_CALLE,CALLE,CRUCE,COMUNA,LONGITUD,LATITUD,VICTIMA,ACUSADO
412,2018-0122-413,2018-0122,CONDUCTOR,MASCULINO,33,18_33,2018-11-12,1,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,LARRAZABAL,8,-58.47743966,-34.67233407,AUTO,AUTO
413,2018-0123-414,2018-0123,CONDUCTOR,MASCULINO,25,18_33,2018-11-12,3,GRAL PAZ,"PAZ, GRAL. AV.","PERON, EVA AV.",9,-58.50251790,-34.67450313,AUTO,SD
414,2018-0124-415,2018-0124,CONDUCTOR,MASCULINO,44,34_49,2018-11-15,19,AUTOPISTA,AUTOPISTA PERITO MORENO,,9,-58.52144411,-34.63682499,CARGAS,CARGAS
415,2018-0125-416,2018-0125,PEATON,MASCULINO,29,18_33,2018-11-16,21,AVENIDA,SAENZ AV.,VENTANA,4,-58.41650465,-34.65084045,PEATON,PASAJEROS
416,2018-0126-417,2018-0126,CONDUCTOR,MASCULINO,27,18_33,2018-11-18,12,GRAL PAZ,"PAZ, GRAL. AV.","FALCON, RAMON L.,CNEL.",9,-58.52994219,-34.64055918,MOTO,AUTO
417,2018-0127-418,2018-0127,CONDUCTOR,MASCULINO,29,18_33,2018-11-19,9,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CONSTITUYENTES AV.,12,-58.50993046,-34.56919739,MOTO,MOTO
418,2018-0128-419,2018-0128,PASAJERO_ACOMPAÑANTE,MASCULINO,49,34_49,2018-11-25,4,GRAL PAZ,"PAZ, GRAL. AV.",,9,-58.52844623,-34.64592873,AUTO,PASAJEROS
419,2018-0128-420,2018-0128,PASAJERO_ACOMPAÑANTE,FEMENINO,39,34_49,2018-11-25,4,GRAL PAZ,"PAZ, GRAL. AV.",,9,-58.52844623,-34.64592873,AUTO,PASAJEROS
420,2018-0129-421,2018-0129,CONDUCTOR,MASCULINO,37,34_49,2018-11-28,4,AVENIDA,"NEWBERY, JORGE AV.",GUEVARA,15,-58.45021367,-34.58695347,MOTO,PASAJEROS
421,2018-0130-422,2018-0130,CONDUCTOR,MASCULINO,SD,SD,2018-12-03,3,AVENIDA,GAONA AV.,SEGUROLA AV.,10,-58.49022072,-34.62770192,MOTO,PASAJEROS
422,2018-0131-423,2018-0131,CONDUCTOR,MASCULINO,29,18_33,2018-12-07,19,AVENIDA,"MADERO, EDUARDO AV.",,1,-58.36860866,-34.60106568,MOTO,CARGAS
423,2018-0132-424,2018-0132,PEATON,MASCULINO,70,>65,2018-12-12,8,AUTOPISTA,AUTOPISTA ARTURO ILLIA,"CASTILLO, RAMON S., PRES. AV.",2,-58.39490504,-34.57241534,PEATON,CARGAS
424,2018-0133-425,2018-0133,PEATON,FEMENINO,60,50_65,2018-12-12,14,AVENIDA,NAZCA AV.,RIVADAVIA AV.,7,-58.46963952,-34.63070603,PEATON,CARGAS
425,2018-0134-426,2018-0134,PEATON,MASCULINO,56,50_65,2018-12-12,21,AVENIDA,LA PLATA AV.,CASEROS AV.,7,-58.42349365,-34.64019887,PEATON,MOTO
426,2018-0135-427,2018-0135,PEATON,MASCULINO,80,>65,2018-12-18,14,AVENIDA,BELGRANO AV.,PERU,1,-58.37471802,-34.61265002,PEATON,PASAJEROS
427,2018-0136-428,2018-0136,PEATON,FEMENINO,70,>65,2018-12-18,15,AVENIDA,RIVADAVIA AV.,,7,-58.46438789,-34.62913916,PEATON,PASAJEROS
428,2018-0137-429,2018-0137,PASAJERO_ACOMPAÑANTE,MASCULINO,29,18_33,2018-12-18,20,CALLE,"ALSINA, ADOLFO",SANTIAGO DEL ESTERO,1,-58.38481975,-34.61100424,MOTO,PASAJEROS
429,2018-0138-430,2018-0138,PASAJERO_ACOMPAÑANTE,FEMENINO,79,>65,2018-12-21,9,CALLE,BERMUDEZ,,10,-58.50751833,-34.62073702,PASAJEROS,PASAJEROS
430,2018-0139-431,2018-0139,PASAJERO_ACOMPAÑANTE,MASCULINO,28,18_33,2018-12-22,6,CALLE,SANTANDER,,7,-58.44682986,-34.63888084,MOTO,MOTO
431,2018-0140-432,2018-0140,CONDUCTOR,MASCULINO,78,>65,2018-12-22,8,CALLE,LANTERI JULIETA,,1,-58.36004650,-34.61381341,AUTO,AUTO
432,2018-0141-433,2018-0141,PEATON,MASCULINO,75,>65,2018-12-22,17,AVENIDA,MAZA,INDEPENDENCIA AV.,5,-58.41509546,-34.62085945,PEATON,MOTO
433,2018-0142-434,2018-0142,PASAJERO_ACOMPAÑANTE,MASCULINO,32,18_33,2018-12-25,13,GRAL PAZ,"PAZ, GRAL. AV.",,12,-58.50997604,-34.57251072,CARGAS,PASAJEROS
434,2018-0143-435,2018-0143,CONDUCTOR,MASCULINO,22,18_33,2018-12-29,5,AVENIDA,OLIVERA AV.,"ALBERDI, JUAN BAUTISTA AV.",10,-58.48606475,-34.64047818,MOTO,AUTO
435,2019-0001-436,2019-0001,CONDUCTOR,MASCULINO,25,18_33,2019-01-08,8,AVENIDA,"CASTILLO, RAMON S., PRES. AV.",CALLE 12 (NO OFICIAL),2,-58.38526125,-34.57805810,MOTO,CARGAS
436,2019-0002-437,2019-0002,CONDUCTOR,MASCULINO,32,18_33,2019-01-09,4,AVENIDA,"CASTAÑARES, AV.","MORENO, PERITO AV.",7,-58.45463662,-34.65082149,AUTO,CARGAS
437,2019-0003-438,2019-0003,CONDUCTOR,MASCULINO,23,18_33,2019-01-12,8,AVENIDA,SAN MARTIN AV.,TERRADA,15,-58.49121672,-34.59718073,MOTO,AUTO
438,2019-0004-439,2019-0004,CONDUCTOR,MASCULINO,71,>65,2019-01-14,19,AVENIDA,"PERON, EVA AV.",MEDINA,9,-58.47325712,-34.65284605,AUTO,PASAJEROS
439,2019-0005-440,2019-0005,CONDUCTOR,MASCULINO,43,34_49,2019-01-19,12,AVENIDA,"JUSTO, JUAN B. AV.",ALVAREZ JONTE AV.,10,-58.52108101,-34.63382309,MOTO,CARGAS
